#nombre,duracion,participantes,level,language,precio
C++,19,3,A,Cas,21.34
Rust,159,24,B,Fre,8.2
PHP,124,12,D,Gal,25.13
PHP,91,20,B,Eng,40.12
C,66,14,A,Cas,23.73
C,105,3,D,Ger,20.59
PHP,55,25,C,Gal,12.69
SQL,133,24,C,Fre,45.37
Rust,224,20,B,Fre,29.18
C++,80,4,C,Cas,42.5
SQL,53,23,A,Gal,25.11
SQL,231,25,A,Fre,24.65
Python,55,11,C,Ger,41.22
C,80,2,B,Gal,17.1
Rust,177,5,B,Gal,27.65
Rust,49,7,D,Ger,48.22
PHP,115,1,C,Eng,46.8
Rust,62,7,D,Cas,49.26
C++,185,16,A,Eng,8.63
Rust,133,22,A,Ger,40.65
Rust,235,10,C,Eng,14.64
PHP,174,23,B,Cas,48.08
C,199,12,C,Cas,31.67
C++,173,5,C,Ger,27.73
Python,86,23,B,Cas,29.95
Python,93,25,C,Gal,33.19
Python,23,9,A,Fre,38.89
Python,142,19,A,Gal,22.28
Rust,194,11,D,Fre,16.9
C++,56,14,D,Ger,29.35
Rust,114,11,A,Ger,8.2
C++,185,6,B,Gal,12.59
Python,57,16,A,Cas,13.08
Rust,43,4,B,Eng,6.01
Rust,186,12,B,Cas,6.87
C++,36,5,D,Eng,42.77
C,22,15,C,Eng,39.78
C++,162,4,C,Cas,37.98
C++,73,21,C,Fre,28.43
SQL,197,8,B,Fre,35.25
Python,119,5,A,Fre,49.14
Python,163,20,A,Ger,33.47
C,235,11,C,Eng,43.04
Python,236,11,D,Ger,14.92
Rust,124,24,B,Fre,22.24
C++,228,4,C,Cas,37.47
Rust,68,25,B,Cas,45.37
Python,78,24,C,Eng,8.24
Rust,221,9,C,Gal,22.32
Rust,132,16,A,Eng,23.85
SQL,42,8,C,Fre,9.25
C++,222,9,B,Eng,15.46
Rust,52,12,D,Fre,22.24
Rust,204,4,D,Eng,22.87
C,228,15,C,Gal,36.05
Python,106,6,A,Cas,41.13
PHP,137,23,C,Gal,41.31
Rust,56,3,D,Fre,47.35
SQL,134,9,D,Gal,44.03
Rust,183,11,A,Ger,32.6
Rust,107,24,C,Cas,11.27
C++,230,19,D,Gal,27.99
Python,71,5,C,Ger,38.4
SQL,149,9,A,Ger,19.01
Rust,209,10,B,Cas,25.13
Python,138,13,B,Fre,18.69
C,71,21,B,Gal,29.62
Rust,78,11,A,Fre,46.06
Rust,100,4,D,Cas,40.28
Rust,230,24,D,Eng,43.8
Rust,35,2,C,Cas,25.47
Rust,48,19,D,Fre,24.87
C++,68,20,A,Eng,44.38
Python,162,7,D,Ger,38.15
PHP,165,12,B,Gal,37.5
C++,104,13,D,Gal,28.62
SQL,44,8,D,Fre,11.5
Rust,101,8,B,Eng,28.03
C,49,5,A,Fre,20.07
Rust,29,13,D,Fre,19.35
SQL,37,19,D,Fre,31.94
PHP,179,4,C,Cas,22.47
SQL,152,18,D,Eng,28.75
Rust,51,6,A,Fre,30.42
PHP,154,23,B,Fre,24.28
Rust,212,13,B,Ger,25.37
Python,169,4,D,Fre,39.84
Rust,180,10,B,Fre,7.94
PHP,233,24,C,Eng,32.36
SQL,129,7,A,Eng,35.92
C,129,10,C,Gal,27.68
PHP,50,21,D,Fre,8.78
Rust,54,20,B,Cas,7.41
Rust,131,12,D,Fre,15.87
Python,102,19,A,Cas,16.86
PHP,79,10,D,Cas,7.32
Python,29,1,B,Fre,45.59
SQL,236,13,B,Gal,25.15
Rust,22,3,C,Fre,10.87
Rust,41,17,B,Cas,48.31
Python,80,9,B,Cas,25.11
Rust,40,16,C,Fre,6.21
C,218,10,D,Cas,17.89
C++,47,8,B,Eng,14.97
C,232,24,A,Fre,46.44
C,202,19,D,Cas,35.12
Rust,231,10,C,Gal,26.67
C++,37,16,A,Gal,8.54
Rust,229,2,D,Eng,31.01
PHP,40,22,A,Eng,45.11
C++,210,5,B,Eng,30.5
Rust,58,10,D,Gal,47.94
PHP,220,21,C,Cas,16.95
PHP,71,7,C,Cas,46.22
C,209,13,B,Gal,48.11
Rust,228,21,B,Ger,12.2
SQL,152,8,C,Eng,13.17
PHP,116,25,C,Cas,33.38
C,123,14,D,Cas,13.83
C++,197,18,C,Cas,10.24
Python,68,6,B,Fre,33.35
Rust,215,7,B,Cas,41.78
SQL,182,8,A,Gal,23.95
C,53,5,D,Gal,49.98
Rust,58,18,C,Ger,8.57
Rust,100,22,B,Fre,19.37
Python,135,16,C,Gal,15.73
C,214,5,B,Fre,17.47
Python,216,4,B,Ger,25.75
Rust,53,3,A,Ger,15.77
Rust,115,7,A,Ger,44.82
Python,153,22,B,Ger,48.23
Rust,152,18,B,Fre,49.96
SQL,11,11,A,Cas,47.26
SQL,199,19,D,Gal,38.08
Rust,167,6,D,Ger,40.09
Rust,25,6,C,Gal,24.82
SQL,171,5,D,Gal,44.16
C++,56,10,A,Ger,41.17
C,132,3,A,Cas,18.4
C++,66,18,A,Eng,40.95
Rust,28,16,D,Ger,35.1
PHP,139,22,D,Fre,32.06
Rust,117,16,C,Eng,49.4
Rust,135,21,B,Gal,34.18
PHP,115,4,C,Eng,12.47
Rust,213,8,B,Fre,6.31
Rust,170,25,A,Eng,22.35
PHP,194,11,B,Cas,25.61
Python,230,6,B,Eng,8.85
PHP,134,2,B,Gal,45.93
Rust,198,13,A,Gal,32.28
Rust,20,6,A,Gal,9.76
Rust,239,16,D,Eng,30.32
Rust,75,5,A,Ger,16.19
Rust,106,17,B,Gal,31.37
SQL,199,23,B,Cas,15.31
PHP,211,16,D,Ger,15.67
Python,16,7,B,Fre,37.71
PHP,123,9,C,Fre,40.29
C++,52,14,D,Ger,36.62
SQL,213,23,A,Eng,30.9
Rust,86,19,D,Eng,47.77
PHP,57,10,D,Ger,7.99
Rust,222,14,A,Cas,45.12
Rust,89,20,B,Gal,21.39
Python,57,2,A,Ger,42.93
Rust,140,12,A,Ger,10.82
C++,115,25,D,Eng,14.04
C++,189,7,B,Fre,14.71
PHP,231,2,B,Gal,26.77
PHP,160,8,D,Ger,12.92
C++,99,18,B,Fre,36.38
C,158,23,A,Eng,21.58
SQL,158,25,A,Fre,42.49
Rust,44,20,C,Cas,45.04
Rust,143,16,C,Ger,39.66
Rust,199,24,D,Cas,43.3
C++,71,1,A,Gal,29.73
C,10,3,D,Fre,47.16
Python,176,13,B,Ger,36.82
PHP,222,7,B,Fre,12.99
Rust,13,14,A,Cas,47.04
Rust,230,17,D,Ger,35.15
C,109,5,D,Gal,44.6
Python,56,5,B,Cas,18.74
Python,205,7,D,Fre,34.67
Rust,143,4,C,Gal,45.0
SQL,180,14,D,Ger,49.72
Rust,205,12,A,Eng,42.81
C,136,24,A,Fre,7.54
Rust,114,4,B,Ger,24.9
Rust,81,8,D,Eng,32.41
C,184,11,D,Ger,29.21
C++,131,23,B,Gal,35.22
PHP,232,20,D,Fre,49.22
Rust,203,20,A,Cas,26.26
Rust,103,22,B,Cas,27.25
PHP,108,2,B,Fre,34.53
Rust,22,18,D,Cas,42.39
C,63,2,C,Cas,35.27
C++,91,20,C,Ger,47.21
Rust,226,23,D,Eng,38.31
C,231,12,B,Eng,26.28
Rust,125,20,D,Gal,17.01
C,229,23,A,Fre,47.66
C,50,18,A,Eng,34.2
SQL,48,14,C,Cas,45.47
Rust,36,7,A,Ger,35.88
Python,10,8,A,Gal,19.71
Rust,232,16,A,Fre,21.77
C,213,24,D,Gal,49.86
C++,235,8,C,Cas,5.99
PHP,157,17,C,Ger,22.23
C,127,12,C,Eng,14.36
Python,174,14,A,Fre,34.8
Rust,135,18,B,Eng,34.65
Rust,123,5,B,Eng,32.54
SQL,131,9,A,Cas,42.15
Python,112,9,D,Eng,23.89
C,132,3,C,Ger,49.36
Rust,160,2,C,Gal,17.05
Python,127,4,A,Fre,41.79
PHP,25,21,D,Cas,46.5
SQL,128,9,C,Eng,18.0
PHP,122,12,A,Ger,42.03
C,14,4,C,Fre,48.36
Rust,71,19,B,Fre,15.73
PHP,120,4,D,Gal,31.04
PHP,20,8,D,Ger,48.68
PHP,26,11,A,Cas,12.32
Python,41,16,C,Cas,18.67
PHP,60,4,C,Ger,17.11
Rust,239,4,B,Eng,7.44
Python,67,8,D,Fre,9.54
C,81,10,A,Eng,31.33
C,155,10,C,Eng,34.75
Rust,73,8,A,Eng,22.22
Python,55,11,A,Eng,10.02
SQL,93,2,C,Fre,14.96
Python,22,5,C,Cas,22.07
Rust,140,13,A,Ger,20.04
Python,167,16,C,Cas,25.96
SQL,147,7,A,Fre,19.04
Rust,55,20,D,Fre,27.73
Rust,220,11,D,Ger,27.35
C++,161,1,B,Eng,41.57
SQL,20,1,D,Gal,21.12
C,149,1,B,Ger,14.25
Rust,159,21,C,Eng,9.48
C++,39,7,C,Eng,29.03
Python,88,15,D,Cas,20.04
C++,203,19,C,Eng,38.68
Python,20,11,D,Fre,18.97
Python,97,23,D,Eng,38.36
PHP,64,17,D,Gal,21.27
C++,42,4,B,Cas,26.4
SQL,183,16,D,Eng,38.71
C++,225,22,C,Fre,47.2
SQL,210,12,B,Fre,41.89
Rust,51,25,D,Eng,29.06
Rust,220,15,C,Ger,49.39
Rust,97,21,D,Eng,30.43
SQL,221,2,A,Gal,20.99
Python,93,25,B,Ger,47.69
C++,174,12,A,Eng,8.28
PHP,215,5,A,Gal,42.16
Rust,198,9,A,Ger,25.33
SQL,198,12,B,Cas,13.87
Python,15,21,D,Gal,37.19
PHP,41,25,D,Cas,8.26
C++,220,1,B,Cas,29.7
Rust,216,14,C,Gal,14.81
Python,54,4,A,Fre,9.34
C++,133,8,D,Cas,23.0
Python,179,15,D,Eng,11.25
Rust,147,18,D,Gal,35.38
Rust,40,13,C,Fre,42.77
C++,100,25,C,Fre,47.1
Rust,152,12,C,Eng,45.89
Rust,131,25,B,Fre,27.57
Rust,234,3,C,Cas,44.01
PHP,188,15,D,Ger,7.86
C++,194,23,A,Fre,30.72
SQL,212,17,A,Cas,29.42
SQL,77,17,B,Eng,12.33
Rust,166,8,B,Eng,19.45
Rust,111,15,D,Cas,46.19
C++,237,12,A,Cas,18.61
C,125,16,B,Eng,32.4
C++,126,7,C,Ger,7.71
Rust,46,5,C,Eng,46.67
C,183,7,C,Gal,40.56
Rust,91,25,D,Gal,10.79
SQL,118,13,C,Fre,39.6
PHP,68,5,D,Ger,35.25
Rust,157,3,C,Eng,23.55
PHP,213,2,B,Gal,17.8
SQL,225,9,C,Ger,27.41
SQL,198,14,A,Ger,21.72
Rust,42,21,A,Fre,35.05
PHP,121,18,B,Eng,21.3
Rust,206,25,D,Cas,15.53
PHP,106,1,A,Fre,13.87
PHP,116,10,C,Cas,15.69
Python,218,3,C,Eng,36.98
C++,173,22,D,Ger,26.27
PHP,97,20,A,Cas,23.44
Python,141,5,B,Cas,48.81
SQL,106,4,B,Ger,40.78
SQL,200,2,A,Cas,8.67
Python,139,13,B,Cas,23.78
C++,179,12,B,Eng,22.17
C++,11,13,A,Eng,27.21
SQL,197,4,D,Ger,30.13
SQL,175,15,B,Fre,10.01
PHP,153,12,A,Gal,35.71
Rust,87,25,B,Fre,27.58
Python,62,2,A,Eng,29.81
PHP,32,5,D,Fre,37.14
SQL,81,13,C,Eng,36.71
Rust,36,22,A,Cas,11.51
C++,116,13,A,Cas,33.98
C,75,15,B,Ger,47.31
C,120,11,A,Cas,8.32
C++,43,19,A,Fre,11.1
Rust,63,23,D,Fre,18.66
C,137,7,D,Eng,30.75
Rust,180,23,B,Cas,47.8
PHP,69,5,C,Ger,27.92
SQL,145,8,C,Cas,32.07
C,196,15,C,Ger,11.11
PHP,107,14,D,Ger,29.54
C,186,24,A,Eng,11.26
PHP,126,24,D,Ger,25.12
Rust,60,15,B,Ger,38.73
SQL,167,15,A,Gal,41.0
C,52,19,A,Cas,38.43
SQL,99,3,B,Eng,49.4
SQL,56,20,D,Cas,38.83
SQL,48,4,A,Gal,12.36
PHP,237,7,C,Eng,33.47
SQL,125,3,B,Eng,34.03
Python,66,7,A,Cas,19.73
PHP,11,5,D,Fre,30.29
C,101,21,A,Cas,6.62
SQL,73,14,B,Fre,11.59
Rust,231,4,D,Ger,33.3
Rust,52,9,D,Fre,44.36
SQL,171,10,D,Gal,36.22
Python,204,19,A,Cas,31.58
C++,65,18,C,Gal,27.04
Rust,95,1,C,Gal,7.66
Rust,102,15,B,Cas,7.55
Python,210,20,B,Eng,14.48
C,16,6,A,Cas,31.65
C++,160,19,A,Fre,40.46
C,86,6,A,Fre,16.31
Python,174,6,C,Fre,17.41
C,240,1,D,Ger,38.59
Rust,187,17,A,Eng,24.4
C++,240,23,C,Fre,7.25
C++,53,2,C,Eng,49.38
Python,161,24,D,Eng,42.15
Python,182,8,D,Fre,10.26
PHP,112,19,A,Fre,17.92
Python,143,11,C,Fre,12.29
C++,197,24,C,Ger,43.42
PHP,167,22,C,Cas,9.89
C,234,16,B,Eng,12.71
Rust,20,23,D,Gal,9.27
C++,32,13,A,Fre,12.15
C,46,8,B,Gal,25.87
Rust,107,25,C,Eng,47.3
SQL,229,24,B,Ger,8.88
C,160,4,B,Gal,36.24
Rust,153,19,A,Fre,40.86
C,16,16,A,Fre,43.93
C,111,22,B,Eng,27.82
Python,30,14,B,Fre,19.29
Python,196,18,A,Cas,17.5
Python,193,12,C,Gal,34.93
SQL,50,2,C,Eng,37.87
SQL,15,15,C,Eng,9.66
Rust,218,14,C,Ger,7.75
Rust,209,1,C,Ger,25.87
PHP,43,2,C,Fre,30.26
C++,129,10,A,Eng,34.67
Rust,27,19,A,Eng,47.44
Rust,233,19,D,Ger,17.72
SQL,221,21,C,Ger,6.35
Python,171,16,B,Gal,30.65
C,131,15,C,Cas,26.39
C,79,4,A,Gal,39.0
Rust,151,5,A,Cas,29.76
PHP,63,18,D,Fre,30.1
SQL,155,25,A,Cas,38.03
C++,67,14,D,Eng,34.35
Rust,29,21,B,Gal,37.54
PHP,150,23,D,Ger,22.67
C++,115,6,C,Ger,39.86
C++,171,15,A,Cas,38.14
C,176,1,A,Cas,38.91
C,57,25,D,Ger,35.39
Rust,201,21,A,Eng,39.56
Rust,214,25,B,Ger,6.07
SQL,219,1,C,Cas,39.64
C,68,22,A,Ger,14.99
Rust,114,11,B,Fre,31.8
Python,154,9,B,Gal,16.11
Rust,150,16,D,Ger,44.65
C++,125,14,D,Gal,49.21
Rust,201,2,C,Cas,36.25
SQL,145,13,D,Ger,11.17
C++,58,4,A,Ger,19.28
SQL,49,12,A,Cas,37.36
C++,15,15,D,Eng,41.29
PHP,214,20,D,Cas,19.26
C++,81,6,D,Ger,32.49
C,27,1,C,Ger,37.31
Rust,92,20,B,Ger,49.53
Rust,12,1,A,Cas,38.62
PHP,238,20,C,Cas,47.36
C++,220,23,D,Eng,27.5
PHP,59,14,A,Cas,16.85
C++,191,13,B,Cas,31.65
PHP,15,16,C,Eng,40.55
SQL,18,11,C,Ger,8.06
C,153,8,C,Cas,22.91
SQL,72,5,C,Eng,21.11
Rust,142,19,A,Cas,44.0
C++,84,10,A,Eng,34.33
Rust,170,1,B,Ger,28.73
Python,135,19,D,Ger,42.57
Rust,82,17,B,Fre,24.16
Rust,212,21,A,Cas,5.17
Rust,181,13,A,Gal,33.42
C++,215,13,C,Ger,19.56
Python,12,19,A,Gal,37.81
C,81,2,B,Fre,21.66
Rust,229,16,B,Fre,29.16
Python,113,23,A,Gal,6.33
C++,109,5,B,Gal,10.24
Python,175,10,B,Cas,44.48
SQL,22,17,C,Fre,44.34
PHP,220,17,B,Cas,6.07
Rust,17,19,A,Gal,21.57
C++,210,5,B,Eng,13.62
Rust,19,7,A,Eng,34.52
PHP,199,13,C,Fre,33.78
C,13,25,B,Cas,9.87
C,14,14,C,Ger,11.93
SQL,17,22,D,Eng,32.88
SQL,136,5,D,Ger,49.97
Python,218,8,B,Ger,31.61
C++,68,12,D,Ger,41.7
Rust,226,12,B,Gal,46.0
Python,236,14,D,Fre,16.63
Rust,202,22,C,Eng,6.73
Python,83,21,A,Cas,38.03
PHP,221,19,D,Fre,6.85
C++,35,8,D,Cas,33.93
Rust,15,8,D,Ger,10.51
PHP,49,17,A,Cas,33.86
C,226,5,D,Cas,47.98
Rust,240,2,A,Ger,46.84
SQL,110,17,B,Fre,33.83
Rust,101,3,A,Cas,12.1
Rust,135,10,B,Ger,7.91
Python,46,5,D,Cas,32.81
SQL,22,15,A,Ger,33.27
Python,142,12,A,Gal,46.91
PHP,95,10,B,Cas,43.74
Rust,209,3,C,Gal,36.22
C,159,2,C,Ger,47.16
Rust,111,6,B,Cas,35.63
Rust,36,1,A,Eng,35.67
Rust,99,25,D,Fre,46.12
Python,215,2,D,Cas,12.68
